# 모델이 옮기기를 거부한 낱말의 한국어 뜻.
#
# Apple 모델의 가드레일에 걸려 `guardrailViolation` 이 돌아오는 낱말이 594개 있다.
# 죽음·폭력·신체를 다루는 말들인데, 애니 자막에는 그것이 흔하다 —
# 死ぬ·殺す·狙う·馬鹿 는 빈도 최상위권이다. 島(섬)·太い(굵다)처럼
# 왜 걸리는지 알 수 없는 것도 섞여 있다(JMdict 의 둘째 뜻이 은어인 탓이다).
#
# **프롬프트로 우회해 봤지만 쓸 수 없었다.** 일본어 표기를 빼거나 영어 뜻을
# 첫 하나로 줄이면 27개 중 14개가 뚫리는데, 그렇게 받은 것의 절반이 틀렸다
# (胸 → "몸의 중심부", 甘える → "기분 나쁜 사람처럼 행동하다", 刺す → "도끼로 칼집을 내다").
# 짧고 틀린 것은 `KoreanGloss.tidy` 가 걸러낼 방법이 없다. 그래서 손으로 적는다.
#
# 기능어 표와 같은 규칙이다 — 확신이 서지 않는 것은 넣지 않는다.
# 빈 채로 두면 영어가 남을 뿐이지만, 틀린 한국어는 사용자가 믿는다.
死ぬ	しぬ	죽다
打ち込む	うちこむ	박다, 몰두하다
憎しみ	にくしみ	증오
誘惑	ゆうわく	유혹
露骨	ろこつ	노골적
傷口	きずぐち	상처
殺意	さつい	살의
間抜け	まぬけ	얼간이
突き刺す	つきさす	꽂다, 찌르다
退治	たいじ	퇴치
処刑	しょけい	처형
吐き捨てる	はきすてる	내뱉다
垂らす	たらす	늘어뜨리다, 흘리다
唾	つば	침
拷問	ごうもん	고문
切り捨てる	きりすてる	잘라 버리다
だらしない	だらしない	칠칠치 못하다
汚れ	よごれ	더러움, 얼룩
異性	いせい	이성
不意打ち	ふいうち	기습
この野郎	このやろう	이 자식
屈辱	くつじょく	굴욕
大嫌い	だいきらい	아주 싫다
甘やかす	あまやかす	응석을 받아주다
抱き寄せる	だきよせる	끌어안다
土下座	どげざ	무릎 꿇고 빎
軽蔑	けいべつ	경멸
乳	ちち	젖
咎める	とがめる	나무라다
押し殺す	おしころす	억누르다
侮辱	ぶじょく	모욕
人殺し	ひとごろし	살인, 살인자
罵る	ののしる	욕하다
侮る	あなどる	얕보다
自嘲	じちょう	자조
雑	ざつ	조잡하다, 거칠다
人種	じんしゅ	인종
悪口	わるぐち	험담
嘲笑	ちょうしょう	비웃음
下品	げひん	천박하다
踏みつける	ふみつける	짓밟다
犠牲者	ぎせいしゃ	희생자
荒らす	あらす	망치다, 휩쓸다
罵倒	ばとう	매도
脅し	おどし	협박
徹する	てっする	철저히 하다
溝	みぞ	도랑, 골
見苦しい	みぐるしい	보기 흉하다
偏見	へんけん	편견
結界	けっかい	결계
族	ぞく	족, 무리
おっぱい	おっぱい	가슴
討伐	とうばつ	토벌
種族	しゅぞく	종족
弾丸	だんがん	탄환
暗殺	あんさつ	암살
股間	こかん	사타구니
叩き込む	たたきこむ	박아 넣다
仕留める	しとめる	쓰러뜨리다
唾液	だえき	침
蹴り	けり	발차기
乳首	ちくび	젖꼭지
銃声	じゅうせい	총성
乳房	ちぶさ	유방
突き立てる	つきたてる	꽂다
壊滅	かいめつ	궤멸
精液	せいえき	정액
殲滅	せんめつ	섬멸
太もも	ふともも	허벅지
妾	めかけ	첩
必殺	ひっさつ	필살
亀裂	きれつ	균열
蹂躙	じゅうりん	유린
射精	しゃせい	사정
突っ伏す	つっぷす	엎어지다
銃口	じゅうこう	총구
炸裂	さくれつ	작렬
処女	しょじょ	처녀
全裸	ぜんら	알몸
射る	いる	쏘다
殺し合う	ころしあう	서로 죽이다
屍	しかばね	시체
斬撃	ざんげき	참격
寝転がる	ねころがる	드러눕다
襲い掛かる	おそいかかる	덮치다
切っ先	きっさき	칼끝
膨れ上がる	ふくれあがる	부풀어 오르다
皆殺し	みなごろし	몰살
即死	そくし	즉사
嫌悪感	けんおかん	혐오감
死骸	しがい	사체
押し潰す	おしつぶす	짓뭉개다
判別	はんべつ	판별
鈍感	どんかん	둔감하다
火照る	ほてる	달아오르다
恍惚	こうこつ	황홀
逝く	いく	세상을 떠나다
場違い	ばちがい	어울리지 않다
吐き気	はきけ	구역질
お仕置き	おしおき	벌
迷子	まいご	미아
体当たり	たいあたり	몸통 박치기
暗殺者	あんさつしゃ	암살자
死にかける	しにかける	죽어가다
膣	ちつ	질
淑女	しゅくじょ	숙녀
心中	しんじゅう	동반 자살
返り討ち	かえりうち	되레 당함
迎え撃つ	むかえうつ	맞받아치다
死刑	しけい	사형
むき出し	むきだし	드러냄, 노골적
侵略	しんりゃく	침략
矢先	やさき	화살촉, 참
爆破	ばくは	폭파
射程	しゃてい	사정거리
愛液	あいえき	애액
押しつぶす	おしつぶす	짓뭉개다
膣内	ちつない	질 내
股	また	가랑이
殴りつける	なぐりつける	후려치다
切り落とす	きりおとす	잘라내다
ぶっ殺す	ぶっころす	죽여버리다
砲撃	ほうげき	포격
修羅場	しゅらば	수라장
性欲	せいよく	성욕
八つ当たり	やつあたり	화풀이
痛めつける	いためつける	혼내주다
刺客	しかく	자객
血走る	ちばしる	핏발이 서다
殺る	やる	해치우다
血まみれ	ちまみれ	피투성이
殺戮	さつりく	살육
民族	みんぞく	민족
童貞	どうてい	동정
殺人事件	さつじんじけん	살인 사건
引き金	ひきがね	방아쇠
噛み締める	かみしめる	곱씹다
吸い取る	すいとる	빨아들이다
啜る	すする	훌쩍이다, 홀짝이다
失敬	しっけい	실례
丸出し	まるだし	드러냄
亀頭	きとう	귀두
火薬	かやく	화약
素顔	すがお	민낯
卑劣	ひれつ	비열하다
体液	たいえき	체액
斬	ざん	참수
幼児	ようじ	유아
自爆	じばく	자폭
振りかざす	ふりかざす	치켜들다, 휘두르다
性的	せいてき	성적
お互い様	おたがいさま	피차일반
同性	どうせい	동성
宣戦布告	せんせんふこく	선전포고
イチャイチャ	イチャイチャ	시시덕거림
馬鹿みたい	ばかみたい	바보 같다
叩き潰す	たたきつぶす	때려 부수다
勃起	ぼっき	발기
見殺し	みごろし	죽게 내버려둠
力尽きる	ちからつきる	힘이 다하다
弱者	じゃくしゃ	약자
項垂れる	うなだれる	고개 숙이다
生贄	いけにえ	제물
粗末	そまつ	변변찮다
打ちのめす	うちのめす	때려눕히다
妖艶	ようえん	요염하다
ぶっ飛ばす	ぶっとばす	날려버리다
無粋	ぶすい	멋없다
極	きょく	극
未成年	みせいねん	미성년
巨乳	きょにゅう	거유
性癖	せいへき	성벽, 버릇
必殺技	ひっさつわざ	필살기
大股	おおまた	큰 걸음
野暮	やぼ	촌스럽다
吸い上げる	すいあげる	빨아올리다
抹殺	まっさつ	말살
呪詛	じゅそ	저주
割れ目	われめ	갈라진 틈
忌まわしい	いまわしい	꺼림칙하다
耳障り	みみざわり	귀에 거슬리다
尻目	しりめ	곁눈질
肢体	したい	팔다리
阿呆	あほ	바보
虐待	ぎゃくたい	학대
貶める	おとしめる	깎아내리다
命がけ	いのちがけ	목숨 걸기
外道	げどう	외도, 이단
卑屈	ひくつ	비굴하다
罵声	ばせい	욕설
腹立つ	はらだつ	화가 나다
侮蔑	ぶべつ	모멸
寝転ぶ	ねころぶ	드러눕다
絶命	ぜつめい	절명
遺す	のこす	남기다
照準	しょうじゅん	조준
傷跡	きずあと	흉터
千切れる	ちぎれる	잘게 찢기다
斬りかかる	きりかかる	칼로 덤비다
野次馬	やじうま	구경꾼
吸い寄せる	すいよせる	끌어당기다
着弾	ちゃくだん	착탄
大戦	たいせん	대전
下っ端	したっぱ	졸개
醜悪	しゅうあく	추악하다
攻撃的	こうげきてき	공격적
刺激的	しげきてき	자극적
目障り	めざわり	눈엣가시
虐殺	ぎゃくさつ	학살
暑苦しい	あつくるしい	무덥다
薄汚れる	うすよごれる	꾀죄죄해지다
突き付ける	つきつける	들이대다
卑猥	ひわい	음란하다
性器	せいき	성기
好き放題	すきほうだい	제멋대로
自己嫌悪	じこけんお	자기혐오
爆風	ばくふう	폭풍
死に方	しにかた	죽는 법
得物	えもの	무기
滲み出る	にじみでる	배어나오다
淫ら	みだら	음란하다
胸板	むないた	가슴팍
暴行	ぼうこう	폭행
心残り	こころのこり	미련
裸足	はだし	맨발
醜態	しゅうたい	추태
地雷	じらい	지뢰
臆病者	おくびょうもの	겁쟁이
卑しい	いやしい	천하다
引き剥がす	ひきはがす	떼어내다
垂れ流す	たれながす	흘려보내다
暴動	ぼうどう	폭동
肉棒	にくぼう	음경
胸部	きょうぶ	흉부
襟元	えりもと	옷깃
殺人鬼	さつじんき	살인마
膝枕	ひざまくら	무릎베개
小言	こごと	잔소리
命懸け	いのちがけ	목숨 걸기
重なり合う	かさなりあう	겹치다
子供扱い	こどもあつかい	어린애 취급
殺し屋	ころしや	살인청부업자
骸	むくろ	시체
不敬	ふけい	불경
にじみ出る	にじみでる	배어나오다
虐げる	しいたげる	학대하다
踏み潰す	ふみつぶす	짓밟아 뭉개다
空振り	からぶり	헛스윙, 헛됨
自滅	じめつ	자멸
卑怯者	ひきょうもの	비겁자
連射	れんしゃ	연사
素肌	すはだ	맨살
娼婦	しょうふ	창녀
命乞い	いのちごい	목숨을 빎
遺書	いしょ	유서
残虐	ざんぎゃく	잔학하다
非道	ひどう	무도하다
末裔	まつえい	후예
児童	じどう	아동
鬼畜	きちく	짐승 같은 놈
見くびる	みくびる	얕보다
絞める	しめる	조르다
迫害	はくがい	박해
叩き付ける	たたきつける	내던지다
毒づく	どくづく	악담하다
泣き虫	なきむし	울보
誇示	こじ	과시
暴言	ぼうげん	폭언
傷付ける	きずつける	상처 입히다
劣勢	れっせい	열세
嘔吐	おうと	구토
四つん這い	よつんばい	네 발로 기기
怨念	おんねん	원념, 원한
不躾	ぶしつけ	무례하다
脱衣所	だついじょ	탈의실
痴漢	ちかん	치한
開戦	かいせん	개전
ねじ伏せる	ねじふせる	비틀어 눕히다
息絶える	いきたえる	숨이 끊기다
裸体	らたい	나체
巨漢	きょかん	거한
討ち取る	うちとる	쳐 죽이다
貧相	ひんそう	초라하다
悪用	あくよう	악용
薄汚い	うすぎたない	지저분하다
下唇	したくちびる	아랫입술
屑	くず	쓰레기
屠る	ほふる	도살하다
射殺	しゃさつ	사살
高ぶる	たかぶる	격해지다
奴等	やつら	녀석들
無差別	むさべつ	무차별
生唾	なまつば	군침
息も絶え絶え	いきもたえだえ	숨이 넘어갈 듯
襲撃者	しゅうげきしゃ	습격자
不潔	ふけつ	불결하다
言い淀む	いいよどむ	말끝을 흐리다
打ち合う	うちあう	서로 치고받다
生体	せいたい	생체
号泣	ごうきゅう	통곡
艶	えん	요염하다
乳母	うば	유모
憎々しい	にくにくしい	얄밉다
悪態	あくたい	욕설
未遂	みすい	미수
ふんぞり返る	ふんぞりかえる	거드름 피우다
色白	いろじろ	살결이 희다
小人	しょうにん	어린이
太股	ふともも	허벅지
発情	はつじょう	발정
武闘	ぶとう	무투
切り込む	きりこむ	파고들다
握り潰す	にぎりつぶす	움켜 뭉개다, 묵살하다
握りつぶす	にぎりつぶす	움켜 뭉개다, 묵살하다
目視	もくし	육안 확인
衝く	つく	찌르다
識別	しきべつ	식별
傷痕	きずあと	흉터
残り少ない	のこりすくない	얼마 안 남다
酷使	こくし	혹사
放火	ほうか	방화
問題児	もんだいじ	문제아
自殺行為	じさつこうい	자살 행위
殺人犯	さつじんはん	살인범
自惚れる	うぬぼれる	자만하다
大爆発	だいばくはつ	대폭발
憎らしい	にくらしい	얄밉다
汚らわしい	けがらわしい	더럽다
ひれ伏す	ひれふす	엎드리다
人払い	ひとばらい	사람을 물림
淫	いん	음란
小悪魔	こあくま	앙큼한 여자
雷撃	らいげき	뇌격
恥辱	ちじょく	치욕
劣等感	れっとうかん	열등감
不利益	ふりえき	불이익
瞬殺	しゅんさつ	순식간에 해치움
殺伐	さつばつ	살벌하다
汚名	おめい	오명
強襲	きょうしゅう	강습
初体験	はつたいけん	첫 경험
腹黒い	はらぐろい	음흉하다
のたうち回る	のたうちまわる	나뒹굴다
追いすがる	おいすがる	바짝 뒤쫓다
半裸	はんら	반라
轢く	ひく	치다
自暴自棄	じぼうじき	자포자기
自害	じがい	자결
膣口	ちつこう	질구
抜刀	ばっとう	발도
最高潮	さいこうちょう	절정
苛める	いじめる	괴롭히다
特攻	とっこう	특공
斬り捨てる	きりすてる	베어 버리다
満身創痍	まんしんそうい	만신창이
淫靡	いんび	음란하다
卑下	ひげ	비하
下卑る	げびる	천해지다
自首	じしゅ	자수
変質者	へんしつしゃ	변태
誘い込む	さそいこむ	꾀어들이다
返り血	かえりち	튄 피
殺める	あやめる	죽이다
殺傷	さっしょう	살상
気色悪い	きしょくわるい	징그럽다
折り重なる	おりかさなる	겹쳐 쌓이다
非礼	ひれい	무례
毒殺	どくさつ	독살
憎たらしい	にくたらしい	얄밉다
童顔	どうがん	동안
刎ねる	はねる	목을 베다
口封じ	くちふうじ	입막음
ぶっ放す	ぶっぱなす	쏘아 갈기다
なぎ倒す	なぎたおす	쓸어 넘어뜨리다
屈辱的	くつじょくてき	굴욕적
殴り合い	なぐりあい	주먹다짐
誘拐犯	ゆうかいはん	유괴범
切り傷	きりきず	베인 상처
吸血	きゅうけつ	흡혈
勃つ	たつ	발기하다
襟首	えりくび	목덜미
汚物	おぶつ	오물
幾らでも	いくらでも	얼마든지
粗い	あらい	거칠다
殴り飛ばす	なぐりとばす	후려쳐 날리다
屁理屈	へりくつ	억지 논리
面目ない	めんぼくない	면목 없다
丸腰	まるごし	맨몸
胸の谷間	むねのたにま	가슴골
忌み嫌う	いみきらう	몹시 싫어하다
冒涜	ぼうとく	모독
戦利品	せんりひん	전리품
お粗末	おそまつ	변변찮다
見境	みさかい	분별
下級生	かきゅうせい	하급생
エロ本	エロほん	야한 책
頭突き	ずつき	박치기
秘部	ひぶ	은밀한 곳
陰口	かげぐち	뒷담화
格好悪い	かっこうわるい	볼품없다
撃ち落とす	うちおとす	쏘아 떨어뜨리다
染み渡る	しみわたる	스며들다
愚弄	ぐろう	우롱
醍醐味	だいごみ	참맛
舌なめずり	したなめずり	입맛을 다심
甘えん坊	あまえんぼう	응석받이
切りつける	きりつける	베려 덤비다
餓鬼	がき	꼬마, 애새끼
盗撮	とうさつ	몰래 촬영
肉眼	にくがん	육안
一刀両断	いっとうりょうだん	일도양단
寝返り	ねがえり	몸 뒤척임, 배신
舐め回す	なめまわす	핥아 대다
血塗れ	ちまみれ	피투성이
黒歴史	くろれきし	흑역사
垢	あか	때
命拾い	いのちびろい	목숨을 건짐
顔向け	かおむけ	얼굴을 들기
二股	ふたまた	양다리
堅物	かたぶつ	고지식한 사람
白人	はくじん	백인
異臭	いしゅう	악취
下腹	かふく	아랫배
せせら笑う	せせらわらう	비웃다
被弾	ひだん	피탄
廃人	はいじん	폐인
痛快	つうかい	통쾌하다
蹴りつける	けりつける	걷어차다
真剣勝負	しんけんしょうぶ	진검승부
淫乱	いんらん	음란하다
辱める	はずかしめる	욕보이다
打撲	だぼく	타박
肌色	はだいろ	살구색
肛門	こうもん	항문
殺生	せっしょう	살생
尻込み	しりごみ	주춤함
実力行使	じつりょくこうし	실력 행사
突っ張る	つっぱる	뻗대다
死傷者	ししょうしゃ	사상자
蹴落とす	けおとす	걷어차 떨어뜨리다
惨殺	ざんさつ	참살
伏兵	ふくへい	복병
玉砕	ぎょくさい	옥쇄
決死	けっし	결사
蠅	はえ	파리
這いつくばう	はいつくばう	넙죽 엎드리다
切り返す	きりかえす	되받아치다
厚かましい	あつかましい	뻔뻔하다
助太刀	すけだち	가세
酷薄	こくはく	냉혹하다
生け贄	いけにえ	제물
八つ裂き	やつざき	갈기갈기 찢음
舐め取る	なめとる	핥아내다
照りつける	てりつける	내리쬐다
脳筋	のうきん	근육 바보
膣壁	ちつへき	질벽
通り魔	とおりま	묻지마 범인
毛嫌い	けぎらい	공연히 싫어함
横薙ぎ	よこなぎ	옆으로 후려침
色っぽい	いろっぽい	요염하다
愚鈍	ぐどん	우둔하다
自虐的	じぎゃくてき	자학적
珍妙	ちんみょう	기묘하다
捨て身	すてみ	목숨을 던짐
撃沈	げきちん	격침
切腹	せっぷく	할복
予備校	よびこう	입시 학원
潔癖	けっぺき	결벽
長期戦	ちょうきせん	장기전
咎め	とがめ	책망
弾幕	だんまく	탄막
陰茎	いんけい	음경
殺人者	さつじんしゃ	살인자
死に絶える	しにたえる	죽어 없어지다
生首	なまくび	잘린 머리
弱小	じゃくしょう	약소하다
平伏す	ひれふす	엎드리다
地蔵	じぞう	지장보살
隷属	れいぞく	예속
濡れ	ぬれ	젖음
誘拐事件	ゆうかいじけん	유괴 사건
煉獄	れんごく	연옥
汚らしい	きたならしい	지저분하다
ファーストキス	ファーストキス	첫 키스
下ネタ	しもネタ	음담패설
潤す	うるおす	적시다
鞭打つ	むちうつ	채찍질하다
貶す	けなす	헐뜯다
総攻撃	そうこうげき	총공격
艶っぽい	つやっぽい	요염하다
自己犠牲	じこぎせい	자기희생
一突き	ひとつき	한 번 찌름
鍬	くわ	괭이
髪留め	かみどめ	머리핀
顔負け	かおまけ	무색해짐
小太り	こぶとり	통통하다
子宮口	しきゅうこう	자궁구
媚薬	びやく	미약, 최음제
ぶっ潰す	ぶっつぶす	부숴버리다
泥水	どろみず	흙탕물
少数派	しょうすうは	소수파
魅惑的	みわくてき	매혹적
左胸	ひだりむね	왼쪽 가슴
身悶える	みもだえる	몸부림치다
娼館	しょうかん	창관, 유곽
苦手意識	にがていしき	못한다는 의식
食べ放題	たべほうだい	무한리필
吟遊詩人	ぎんゆうしじん	음유시인
秘裂	ひれつ	여성 성기
情欲	じょうよく	정욕
先制攻撃	せんせいこうげき	선제공격
唆す	そそのかす	부추기다
目くらまし	めくらまし	눈속임
吸い出す	すいだす	빨아내다
追っ払う	おっぱらう	쫓아버리다
秘密兵器	ひみつへいき	비밀 병기
平手打ち	ひらてうち	따귀
恥ずべき	はずべき	부끄러운
